"","x"
"40","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
[사진제공=한국타이어] 한국타이어의 타이어 중심 자동차 토탈 서비스 전문점 ‘티스테이션(T’Station)’이 프로야구 구단 ‘두산베어스’와 함께 다음달 1일 잠실야구장에서 브랜드데이를 개최한다고 밝혔다.티스테이션은 이번 브랜드데이가 진행되는 동안 잠실야구장 내∙외부에 설치된 광고 현수막과 전광판 영상을 통해 브랜드 광고를 노출시키고, 클리닝타임 이벤트를 통해 한국타이어 교환권 증정 등의 행사도 함께 진행한다. 또한 경기 시작 전에는 중앙매표소 광장에 프로모션 부스를 설치하고 레이싱모델 포토타임, SNS 인증 이벤트와 함께 응원도구 등의 다양한 경품을 제공할 예정이다.티스테이션은 2016년부터 3년 연속 두산베어스와 광고 프로모션 계약을 체결하며 매년 브랜드데이를 개최, 야구팬과 함께하는 다양한 스포츠 마케팅 활동을 진행하고 있다. 이를 통해 주요 타겟층 고객에게 브랜드를 알리는 것은 물론 고객 중심의 브랜드 커뮤니케이션 전략도 함께 강화해나갈 계획이다.[디지털뉴스국 박소현 객원기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
	
	"
"41","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
우리가 걷고, 뛰고, 상체를 바로 세운 자세를 유지할 수 있는 것은 무릎관절 덕분이다. 무릎관절은 보행과 충격 시 무릎에 가해지는 압력을 완화하는 중요한 역할을 한다. 그런데 무리한 운동이나 무거운 짐을 드는 등 지속적으로 부담을 주면 퇴행성 변화가 올 수 있다.‘퇴행성 무릎 관절염 = 자연스러운 노화 현상’이라는 편견으로 통증, 삐걱거리는 소리, 뻣뻣함 등의 증상이 나타나도 방치하는 경우가 많다. 그런데 무릎의 연골과 연골판 손상이 지속되면, 뼈의 모양이 변형되기 시작하고, 한 번 시작된 변형은 시간이 지날수록 더 심해지는 퇴행성 무릎 관절염이 된다. 특히 무릎연골은 한번 손상되면 회복되기 어려우므로 초기에 바로잡아야 한다.퇴행성 무릎 관절염의 통증에도 여러 가지 원인이 있는데, 그 원인에 따라 치료법 또한 나뉜다. 먼저 퇴행성으로 변성된 인대나 반월상 연골판으로 인한 통증은 비수술 요법인 프롤로 인대강화주사와 DNA 주사치료로도 개선 효과를 얻을 수 있다. 또 마모되고 있는 연골과 찢어지고 있는 반월상 연골판은 관절내시경 수술을 시행하며, 변형된 뼈로 인해 통증과 변형이 심하다면 인공관절 수술이 적합하다.매경헬스 건강스펀지 척추 관절 자문의 유상호 원장(유상호정형외과)최근에는 인대강화주사만으로도 좋은 예후를 보인 사례가 많아 수술보다는 주사치료를 시행하는 추세이다. 유상호 정형외과 유상호 원장은 “고삼투압 용액을 이용하는 프롤로 인대강화주사와 성장인자 자극 물질을 사용하는 DNA 주사는 초음파를 통해 병변 부위를 확인하고 주사하는 초음파 유도하 주사이다.”며 “초음파 유도방식을 활용하면 정상조직은 건드리지 않고 정확하게 손상된 조직에만 정밀하게 주사액을 주입할 수 있다.”고 말했다.비수술 치료나 수술을 통한 개선책도 중요하지만 무릎 관절에 다시 무리를 주는 생활이 지속되면 아무 소용이 없다. 무릎 관절을 건강하게 지키고 싶다면 무엇보다 체중을 조절해야 한다. 무릎은 체중의 약 3배에 달하는 하중을 견디는데 무릎에 가해지는 부담은 고스란히 연골을 닳게 하고 노화를 앞당긴다.유상호 원장은 “인공관절 수술만이 퇴행성 무릎 관절염의 유일한 치료법인 것처럼 권유하는 병원이 적지 않다.”며 “정밀 검진을 거쳐 개인의 증상과 원인, 신체 특성에 따라 알맞은 방법으로 치료하는 것이 바람직하다.”고 말했다.*도움말 : 매경헬스 건강스펀지 척추 관절 자문의 유상호 원장(유상호정형외과)송나은 기자 [ hoogy003@mkhealth.co.kr ][ⓒ 매경헬스 & mkhealth.co.kr, 무단전재 및 재배포 금지 ]< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >
	
	"
"42","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
1년간 보존처리 거쳐 본 모습 되찾아보고서 통해 내년 분석 결과 공개국가민속문화재 제48호 동궁비 원삼(사진=문화재청)[이데일리 이정현 기자] 조선 왕실의 여성들이 입었던 복식 유물이 1년여 만에 제 모습을 찾았다.문화재청 국립문화재연구소 문화재보존과학센터는 조선 왕실 복식을 대표하는 국가민속문화재 제48호 동궁비 원삼, 국가민속문화재 제103호 전 왕비 당의 등 7벌의 조선 왕실 여성의 복식 유물(세종대학교 소장) 보존처리를 1년여에 걸쳐 완료했다고 29일 밝혔다.활옷과 함께 민간 혼례복으로 익숙한 원삼은 원래 반가 여성들의 예복이다. 동궁비 원삼은 1906년 순종이 황태자 시절, 두 번째 가례인 병오가례를 올렸을 당시 동궁비(훗날 순정효황후, 1894~1966년)가 입었던 원삼으로 추정된다. 당의 역시 순종비의 것으로 두 벌의 당의를 함께 끼워 만들었다. 모두 금사를 넣어 봉황을 시문한 직금문단 직물을 사용하였으며, 오조룡보가 가슴, 등, 양어깨에 달려있어 유물로서 가치가 높다.동궁비 원삼을 비롯한 전해 내려오는 복식은 100여 년의 시간 동안 직물이 구겨지기도 하고 일부 찢어진 부분도 있기 마련이다. 더욱이 동궁비 원삼의 경우, 아주 곱고 얇은 직물을 사용하여 더욱 약해져 있는 상태였다. 따라서 이번 7벌의 복식 보존처리는 유물의 본 모습은 되찾고, 약한 부분을 보강하는 데 주력했다. 문화재보존과학센터를 주축으로 관련 전문가, 소장처 간의 긴밀한 협조 끝에 유물에 대한 과학적 분석을 통한 유물 이력을 조사한 결과다.동궁비 원삼의 경우는 2.7m의 달하는 크기만큼이나 직물 무게도 상당한 편이다. 문화재보존과학센터는 유물을 출납하거나 격납할 때 자연적으로 발생하는 구김이나 직물 손상을 최소화 할 수 있도록 안전한 관리를 위한 맞춤형 유물 충전재를 직접 제작하여 사용하였다.이번 보존처리가 완료된 유물은 지난 27일 세종대학교박물관에 인계했다. 문화재보존과학센터는 보존처리 전 과정과 새롭게 밝혀낸 분석 결과를 내년도에 발간할 ‘보존처리 연구보고서’를 통해 공개할 예정이다.국가민속문화재 제103호 전(傳) 왕비 당의(사진=문화재청)이정현 (seiji@edaily.co.kr)20~30대를 위한 취업, 금융, 생활 정보가 가득 [스냅타임▶]네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]최신 웹툰이 매일 공짜... 꿀잼 '웹툰' [감상하기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞
	
	"
"43","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	(단양=연합뉴스) 김형우 기자 = 충북 제천과 단양의 계곡들이 올여름 무더위를 날릴 피서지로 떠오르고 있다.    백두대간의 명산으로 둘러싸인 제천과 단양은 자연의 보고로 불릴 정도로 뛰어난 자연환경을 자랑한다.    울창한 숲과 깨끗한 물이 어우러진 여러 청정계곡은 단연 전국 으뜸이다.단양 사동계곡 [단양군 제공 = 연합뉴스]단양의 계곡 대부분은 대한민국 허파로 불리는 소백산의 천연림에서 발원돼 거울처럼 맑고 시원한 물이 흐른다.    소백산 비로봉과 제1연화봉 사이에 자리 잡은 다리안계곡은 청정한 계곡수가 흐르는 데다 오토캠핑장과 물놀이장, 매장 등 편의시설도 갖춰 여름 휴가철 피서지로 인기다.    단성면 가산리∼대잠리에 이르는 10km의 계곡을 따라 펼쳐진 선암계곡은 상선암과 하선암, 중선암, 도락산이 펼쳐내는 빼어난 계곡을 자랑한다.     계곡과 멀지 않은 곳에 온달관광지와 온달동굴, 온달산성, 구인사 등이 있어 문화유적 탐방도 할 수 있다.    소백산 도솔봉과 묘적봉에서 발원한 사동계곡은 병풍처럼 이어진 기암괴석이 장관을 이뤄 피서객들의 눈길을 사로잡는다.    인근에 샘 양지 농촌체험 마을이 있어 시골문화체험이 가능한 곳이다.    유명 계곡이 즐비한 제천 역시 여름 피서지로 뒤지지 않는다.     월악산을 끼고 흐르는 송계계곡은 계곡 물이 얼음처럼 차가워 여름철에는 더위를 식히려는 인파가 몰린다    계곡 주변에 자리 잡은 수백 년 묵은 노송들은 바위와 어우러져 한 폭의 산수화처럼 장관을 연출한다.     송계계곡과 더불어 국립공원 월악산의 동편 깊은 골짜기에 펼쳐진 용하구곡도 이름난 힐링 명소다.    vodcast@yna.co.kr▶기사제보 및 문의▶뉴스가 보여요 - 연합뉴스 유튜브  ▶2018 러시아 월드컵의 모든 것
	
	"
"44","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
일본이 폴란드에 패배했지만 ‘페어플레이 점수’로 16강에 진출에 성공했다.29일(한국시간) 러시아 볼고그라드 아레나에서 열린 2018 러시아월드컵 조별리그 H조 3차전에서 일본은 폴란드에 0-1로 패배했다.같은 시간 사마라 아레나에서 열린 경기에서는 콜롬비아가 세네갈에 0-1로 승리했다.1승 1무 1패(승점4)를 기록한 일본은 세네갈(승점4)와 골득실, 다득점, 승자승까지 모두 동률을 이뤘다. 다만 일본이 페어플레이 점수에서 세네갈에 앞서며 조 2위로 16강에 올랐다.(사란스크 AP=연합뉴스)아시아에서는 유일하게 16강에 진출한 것이다.일본을 웃게 한 페어플레이 점수는 승점, 골득실, 다득점에 승자승까지 같을 경우 순위를 가리는 요소로, 경고와 퇴장 숫자로 계산한다. 일본과 세네갈 모두 퇴장은 없었지만, 경고 숫자에서 세네갈이 일본보다 2장 더 많아 일본이 페어플레이 점수에서 앞섰다.하지만 1점차로 뒤진 일본은 경기 종료를 앞두고 투지의 경기가 아닌 뒤에서 볼을 돌리는 모습으로 일관해 중계를 지켜보던 국내외 팬들에게 실망감을 안겼다.일본은 콜롬비아가 1-0으로 앞선다는 소식을 들은 후반 38분여부터 공을 돌려 관중의 야유를 받았다.안정한 MBC 해설위원은 ""경기장에는 일본 폴란드 팬 외 다른 나라 팬들도 있다. 어제 (한국 독일전으로)정화된 눈이 더렵혀지고 있다""고 혹평했다.이어 ""무례한 일이다. 정상적으로 올라갔으면 축하할 일이었겠지만 경기는 제대로 해야 하지 않나. 추한 16강 진출이다""라고 지적했다.영국 BBC 또한 ""이번 월드컵에서 가장 어이없는 경기였다""면서 ""옐로우카드로 숫자로 토너먼트에 진출하는 팀이 정해지면 안 된다"" 라며 비난했다.이미나 한경닷컴 기자 helper@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지
	
	"
"45","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
[토론회] 인신보호법 시행 10년, 외국인은?'서울시 공무원 간첩 조작 사건'으로 잘 알려진 인신보호법이 올해로 시행 10년을 맞이했다. 인신보호법 10년을 맞아서 더 많은 이에게 신체의 자유를 보장하기 위한 움직임이 활발하다.27일 '인신보호법 시행 10년의 평가와 과제 심포지엄'에서는 여러 법률 전문가들이 모여서 현행법의 허점과 의미를 논의했다. 국민의 기본권을 보호하고자 제정된 인신보호법은 10년간 세 차례 개정됐지만, 여전히 사각지대가 많다는 의견이다.병원, 복지 보호 시설에 사람을 가둔다고?인신보호법은 피수용자에 대한 수용 자체가 위법하거나 더 이상 수용할 이유가 없어졌는데도 계속 유지할 때 피수용자가 법원에 구제를 청구할 수 있다는 내용을 담고 있다.인신보호법으로 구제를 청구하려면 위법한 방법으로 피수용자가 수용되어야 한다. 여기서 수용이란 의료 시설, 복지 시설, 보호 시설 등에 인신을 감금하여 신체의 자유를 박탈하거나 제한하는 것을 말한다. 형사 절차의 체포 및 구속과 같은 개념으로 봐야 한다.가장 큰 사각지대 '외국인'현재 가장 큰 사각지대는 외국인이다. 인신보호법은 헌법이 보장하는 ""국민""의 기본권을 보호하는 것을 목적으로 한다(제1조). 이 ""국민""을 해석할 때 외국인이 포함되느냐의 문제가 있다.대한변호사협회의 오재욱 변호사는 ""신체의 자유가 자연권으로서의 성격을 가지는 '인간'의 권리임을 고려하면 대한민국 국적을 보유한 국민으로 좁게 해석할 이유가 없다""고 설명했다. 2014년의 판례에서도 같은 결정을 내렸다. 대한민국 영토 내에 있는 외국인 역시 ""국민""으로 주체성이 명시된 신체의 자유를 보장해야 한다고 것이다.불법 체류자, 난민 인간으로서의 권리현행 인신보호법상 출입국관리법에 의해 보호된 외국인은 인신보호법의 피청구인에서 제외된다. 오재욱 변호사는 ""이때 출입국관리법에 의해서 외국인 신체의 자유를 침해하는 것이 아닌지 고려해야 할 필요가 있다""고 말했다. 난민을 비롯한 불법 체류자에게 인신 보호 청구를 일률적으로 배제하는 것은 인신의 자유가 인간의 권리임을 망각한 것이라는 설명이다.특히 난민 신청자가 출입국관리법상 보호 조치를 당하는 경우 그 보호는 사실상 구금에 가까운 강제 조치다. 현행 출입국관리법은 강제 퇴거 명령을 받은 사람을 즉시 대한민국 밖으로 송환할 수 없으면 송환할 수 있을 때까지 보호 시설에 보호할 수 있다고 규정해 무기한 구금이 가능하다는 문제도 있다.이런 문제를 놓고서 이날 토론회에서는 두 가지 대안이 제시됐다.대안 하나: 인신보호관 제도법무부 인권조사과 허용준 검사는 인신보호관 제도를 제안했다. 현행법에 따르면, 피수용자는 구금되어 있어 외부의 도움을 받기 어렵고, 의사 결정 능력이 취약한 상태일 수 있어 구제 청구를 할 능력이 부족하다. 또 인신 보호 재판은 사후적 구제 조치라는 한계가 있다고 지적했다.허용준 검사가 말하는 인신보호관은 수용 시설을 방문해 위법한 수용 여부를 상시 점검하고, 위법한 수용 사실을 발견한 경우 피수용자를 위해 구제 청구를 대신 한다. 법원의 수용 해제 명령을 집행하고 감독할 수 있다. 해당 제도 도입 시 조사관으로 정신의학, 심리학, 사회복지학 등의 전문가를 임용할 수 있다.대안 둘: 국선대리인 제도인신 보호 청구는 형사 절차에서의 체포 및 구속적부심과 같은 차원의 구제 절차이다. 하지만 그와는 다르게 변호인의 존재가 명확히 고지되어 있지 않다. 이종수 교수는 ""현행법상 피수용자는 수용되어 있기 때문에, 직접 법원에 항고장을 접수할 수 없다""며 ""외부인의 도움이 필수적""이라고 설명했다.인신보호법상으로는 국선 변호인을 선임할 수 있지만, 변호인의 대리권에 상소권(항고권)까지 포함되어 있다고 단정하기는 어렵다. 오재욱 변호사는 ""인신 구제 청구 시작 단계부터 국선대리인(변호인)의 선임을 요청할 수 있도록 해야 하고, 그 사실이 고지되도록 법을 개정해야 한다""고 말했다.[사진=Procyk Radek/shutterstock]연희진 기자  (miro22@kormedi.com)▶[헬스스낵]착한 미생물 '프로바이오틱스' 없다면?▶[퀴즈]이 냄새를 맡으면 성욕이?!▶코메디닷컴 페이스북 바로가기 저작권ⓒ  '건강을 위한 정직한 지식' 코메디닷컴(kormedi.com) / 무단전재-재배포 금지
	
	"
"46","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	청주 상당경찰서는 자신이 운영하는 정육점이 입점한 마트 주인에게 둔기를 휘둘러 살해하려 한 혐의(살인미수)로 ㄱ(43)씨를 붙잡아 조사하고 있다.위 사진은 기사 내용과 직접적인 관련이 없음. 게티이미지코리아29일 연합뉴스 보도에 따르면 ㄱ씨는 전날 오후 8시 20분께 상당구의 한 마트 사무실에서 주인 ㄴ(55·여)씨에게 둔기를 50여차례 휘두른 혐의를 받고 있다. 머리 등을 크게 다친 ㄴ씨는 병원으로 옮겨져 치료를 받고 있다.ㄱ씨는 신고를 받고 출동 경찰에 현행범 체포됐다. 경찰 조사에서 ㄱ씨는 “최근 정육점을 그만뒀는데 B씨가 보증금을 돌려주지 않아 화가 났다”고 진술했다.경찰은 ㄱ씨를 상대로 사건 경위를 조사한 뒤 구속영장을 신청할 방침이다.▶ [스포츠경향 인기 무료만화 보기]▶ [지금 옆사람이 보고있는 뉴스]©스포츠경향(sports.khan.co.kr), 무단전재 및 재배포 금지
	
	"
"47","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】 이재훈 기자 = 경기 하남의 이탈리아 가정식 식당의 주인장 겸 조리사 전준한(46)씨는 고객들에게 이렇게 인사한다. ""요리하는 성악가입니다."" 두꺼운 소리를 내는 베이스다. 노래를 부르고 요리도 한다. 고상해 보이는 두 직업을 동시에 갖고 있지만, 시작은 현실적이었다. 고등학교 3학년 때 성악에 매료돼 몇 번의 도전 끝에 연세대 성악과에 입학한 그는 서른 살에 이탈리아로 유학을 떠난 성악 늦깎이다. 이내 숨겨졌던 재능이 빛을 발했다. 국제 콩쿠르에서 14번이나 입상하며 실력을 인정받았다. 귀국 후에는 국립오페라단 등에서 주역을 맡았다.그러나 한국에서는 성악가로 먹고살기가 만만치 않았다. 가족을 부양해야 하는 현실에서 이탈리아 유학 시절 곧잘 요리를 했던 것을 떠올렸다. 식당을 차리기로 마음먹은 이유다. '예술을 위한 삶'을 살다가 '삶을 위한 예술'이 가능해진 것이다. 덕분에 '전준한의 오페라 식당'이라는 책도 펴낼 수 있게 됐다. '맛있는 오페라, 감미로운 이탈리아 요리'라는 부제를 단 책은 오페라와 이탈리아 요리를 접목해 이야기를 풀어낸다.모차르트의 '마술피리'와 짭짤한 안초비 피자, 베냐미노 질리의 '물망초'와 토마토소스 파스타, 가곡 '명태'와 로마 중국집의 동태매운탕이 연결되는 식이다. 본인 인생의 성악가에게 바치는 요리라며 소프라노 조수미를 위한 나폴리식 고등어찜도 꺼내 놓는다. 296쪽, 1만5000원, 살림  realpaper7@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]"
"48","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
내달 5일부터 7일까지 워크숍 겸 오디션26명 지원…외국 무용수 등 폭넓게 참여신체 감각 극대화하는 작품, 10월 본 공연안무가 예효승 신작 ‘오피움’ 워크숍 겸 오디션 포스터(사진=한국문화예술위원회).[이데일리 장병호 기자] 한국문화예술위원회(이하 예술위)는 오는 7월 5일부터 7일까지 3일간 안무가 예효승의 신작 ‘오피움’에 참여할 무용수 선발을 위한 워크숍 겸 오디션을 서울 종로구 대학로예술극장 스튜디오 하늘에서 개최한다.‘오피움’은 한국문화예술위원회 아르코·대학로예술극장에서 국내 초연 작품을 선보이는 기획 공연 ‘올해의 아르코 파트너-베스트 앤 퍼스트’ 작품 중 하나다. 지난 11일부터 27일까지 무대에 함께 오를 무용수를 선발하는 워크숍 겸 오디션 참가자 모집을 진행해 총 26명이 지원했다. 예술위는 이번 워크숍을 통해 10월로 예정된 본 공연에 오를 출연자를 선발한다.심의위원으로는 예효승 안무가 외에 드라마투르그 김재리, 음악감독 김시율, 조명감독 이영욱 등 창작진이 참여한다. ‘댄싱9’ 심사위원이자 2018 평창동계올림픽 무용 감독으로 활동한 현대무용가 차진엽도 심의위원으로 참여한다. 예효승 안무가는 “학연과 지연이 아닌 오로지 움직임만을 보고 공정하게 작품에 참여할 무용수를 선발할 계획”이라고 밝혔다.이번 워크숍 겸 오디션에는 현대무용 전공자는 물론 비보잉, 한국무용 등 다양한 배경의 지원자들이 참여해 눈길을 끈다. 부르키나파소 국적으로 서아프리카 만딩고 전통춤에 기반한 현대무용을 하고 있는 외국인 지원자도 있다. 이들은 3일간 따라하기, 즉흥, 솔로, 미션, 그룹 즉흥 등 다양한 프로그램에 맞춰 움직이며 온몸으로 참여 의지를 드러낼 예정이다.예효승 안무가는 파리 아틀리에 카를린 칼숑 무용단, 벨기에 저명한 안무가 알랑 플라텔이 이끄는 쎄드라베 무용단 등을 거쳐 현재 무용수 겸 안무가로 활동 중이다. 이번 신작은 환각제로 사용하는 식물 양귀비에 착안한 작품으로 억압에 의해 체험되지 않았던 감각을 춤으로 표현한다. ‘올해의 아르코 파트너-베스트 앤 퍼스트’ 시리즈 작품으로 오는 10월 5일부터 7일까지 대학로예술극장 대극장에서 공연한다.장병호 (solanin@edaily.co.kr)20~30대를 위한 취업, 금융, 생활 정보가 가득 [스냅타임▶]네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]최신 웹툰이 매일 공짜... 꿀잼 '웹툰' [감상하기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞
	
	"
"49","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	토요일인 30일 전국에 다시 장맛비가 쏟아질 것으로 보인다.일요일(7월 1일)까지 이틀간 전국적으로 40∼100㎜의 비가 내리겠다.서울과 경기, 충남 서해안, 남해안, 제주도 산지 등에는 최대 150㎜가 넘는 폭우가 쏟아질 것으로 예고됐다.특히 30일은 충청도와 남부 지방, 1일은 중부 지방과 서해안을 중심으로 돌풍과 함께 천둥, 번개를 동반한 시간당 30㎜ 이상의 매우 강한 비가 내리겠다.기상청 관계자는 ""이미 전국적으로 매우 많은 비가 내려 지반이 약해진 가운데 또다시 많은 비가 내려 산사태나 축대 붕괴, 침수 등 피해가 우려되니 각별히 유의해야 한다""고 당부했다.최근 강수가 취약 시간대인 야간에 집중되면서 비 피해가 커질 수 있는 만큼 시설물과 안전사고에도 주의해야 한다.이날 아침 최저기온은 19∼23도, 낮 최고기온은 24∼29도로 예보됐다.미세먼지 농도는 전 권역에서 '좋음'∼'보통' 수준을 보이겠다.바다의 물결은 서해 앞바다에서 0.5∼1.5ｍ, 남해·동해 앞바다에서 0.5∼1.5ｍ 높이로 일겠다. 먼바다의 파고는 서해 0.5∼2.0ｍ, 남해 1.0∼2.0ｍ, 동해 1.0∼2.5ｍ로 예보됐다.[디지털뉴스국]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
	
	"
"50","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	 농심은 생감자칩에 콘치즈구이 맛을 더한 ‘포테토칩 콘치즈맛’을 출시했다고 29일 밝혔다. 생감자칩 특유의 바삭함과 고소하고 달콤한 콘치즈의 맛이 조화를 이룬다.농심은 식품업계에 불고 있는 옥수수의 인기에 착안해 포테토칩 콘치즈맛을 개발했다. 최근 옥수수의 고소하고 담백한 맛을 담은 우유, 수프, 아이스크림 등 다양한 제품이 시장에서 화제가 되고 있어서다. 음식점에서 흔히 볼 수 있는 ‘콘치즈구이’는 남녀노소 누구에게나 인기 있는 메뉴지만, 스낵으로 구현된 적은 없었다.농심 관계자는 “최근 1020세대 소비자들은 익숙한 맛이 결합해 새로운 맛을 내는 식품을 선호하는 경향이 있다”며 “스테디셀러 포테토칩에 음식점 인기메뉴 콘치즈구이의 맛을 입힌 ‘익숙한 새로움’으로 젊은 소비자에게 가까이 다가갈 계획”이라고 말했다.김동환 기자 kimcharr@segye.comⓒ 세상을 보는 눈, 글로벌 미디어 세계일보
	
	"
"51","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
2019 대학수학능력시험이 5달 앞으로 다가왔다. 그 동안 공부한 내용을 다시 한번 짚어보고, 어떤 분야를 집중적으로 공략할지 전략을 잘 짜야 하는 중요한 시기다. 특히 공부만큼이나 컨디션 조절에 힘써야 하는데, 그 중에서도 수능 날까지 수면 건강을 지키는 것이 관건이다.수험생 중에는 비교적 목표와 의지가 또렷하여 스스로 수면시간을 줄여가며 공부하거나, 학업 스케줄로 인해 어쩔 수 없이 수면시간을 줄여야 하는 상황에 내몰리는 학생들이 존재한다. 그러나 차츰 수면부족과 피로가 누적되면 졸음이 쏟아져 학습에 지장이 생기기 마련이다. 이렇게 되면 책상에 아무리 오래 앉아 있어도 집중력이 떨어진 상태이기 때문에 학습 효율성이 저하될 수밖에 없다. 커피나 에너지음료를 활용할 경우 카페인 성분이 중추 신경에 자극을 줘 일시적으로 뇌를 깨우는 효과를 주지만 내성이 생겨 과다 섭취할 경우 불안, 불면증, 심장 떨림 등을 유발하는 카페인 중독에 걸릴 수 있다.수험생들에게 양질의 수면이 필요한 이유는 자는 동안 뇌에서 낮 동안 학습한 내용들의 기억 저장이 일어나기 때문이다. 깊은 잠이 들면 대뇌피질에서 서파가 나오는데 이때 간뇌 시상에서 수면방추파가, 해마에서 SWR파가 발생하면서 3가지 뇌파의 연합으로 학습 기억력이 증가한다. 또 수면 중 뇌는 노폐물 제거 활동을 해 신체의 누적된 피로를 회복시켜준다.숙면에는 생체리듬을 조정하는 호르몬 멜라토닌이 관여한다. 우리 몸은 멜라토닌 호르몬이 분비되어야 잠이 들 준비를 하는데 멜라토닌은 밤 10시부터 새벽 2시 사이 정도에 가장 많은 분비량을 기록한다. 이 시간대에 잠을 자면 수면 유도 호르몬인 멜라토닌 분비가 원활해져 깊은 잠에 들기가 더 수월하다. 밤에 잠을 잘 자지 못하는 수험생이라면 멜라토닌 분비를 보충할 수 있는 우유나 견과류 등을 섭취하면 수면에 도움이 된다.매경헬스 건강스펀지 수면 클리닉 자문의  이종우 원장(숨수면클리닉)숨수면클리닉 이종우 원장은 “수험생은 하루 6~7시간 수면을 취할 것을 권장하며 그렇지 못한 날은 점심 식사 이후, 오후 4시쯤에 각 10분가량 낮잠을 자는 것도 좋다.”며 “일상 속 피로와 무기력, 집중력 감퇴가 지속될 경우 수면무호흡증 등 수면장애로 수면방해를 받고 있을 수 있어 수면다원검사를 통해 수면 상태를 확인해볼 필요가 있다.”고 말했다.*도움말 : 매경헬스 건강스펀지 수면 클리닉 자문의  이종우 원장(숨수면클리닉)송나은 기자 [ hoogy003@mkhealth.co.kr ][ⓒ 매경헬스 & mkhealth.co.kr, 무단전재 및 재배포 금지 ]< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >
	
	"
"52","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
 [스포츠조선 바로가기] [스포츠조선 페이스북]- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지
	
	"
