CN : 고객번호
X1 : 결혼상태(0-미혼, 1-기혼, 3-이혼)
X2 : 신용카드(0-미사용, 1-사용)
X3 : 주택소유(0-미소유, 1-소유)
X4 : 집세
X5 : 수입
X6 : 연령
X7 : 거주년수
X8 : 교육년수
X9 : 고객년수
X10 : 근무년수
G : 신용도(0-양호, 1-모호, 3-불량)

CN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,G
864845318,1,1,1,0,697,45,3,19,0,13,0
865079033,1,1,0,1341,427,42,6,16,1,12,0
866016689,1,0,1,155,373,36,0,16,5,6,2
868273998,0,0,1,205,492,28,0,16,10,4,2
868582551,0,1,1,176,424,20,20,16,3,1,0
870250035,1,1,0,493,388,29,29,16,8,3,0
870337297,0,1,0,147,353,25,4,16,4,3,0
879522287,1,1,0,122,294,28,4,16,3,2,0
880512143,2,1,1,0,447,33,4,16,3,10,1
881562396,0,1,0,198,476,26,26,16,9,6,0
881811707,1,0,0,377,906,45,2,20,10,8,0
883654219,1,1,1,162,391,23,7,16,5,5,0
887271516,1,1,1,167,402,31,31,16,10,6,0
888150703,1,1,1,328,789,68,4,19,10,11,0
892321790,1,1,1,595,505,45,6,16,17,5,1
894428804,2,1,1,182,437,34,3,16,1,5,1
896471465,1,1,0,196,471,28,3,16,2,5,0
897257027,1,0,0,212,510,42,0,16,1,5,2
