age,careAddr,careNm,careTel,chargeNm,colorCd,desertionNo,filename,happenDt,happenPlace,kindCd,neuterYn,noticeEdt,noticeNo,noticeSdt,officetel,orgNm,popfile,processState,sexCd,specialMark,weight,
2015(년생),강원도 동해시 북평동 51-1,동해시유기동물보호소,033-522-2990,조원호,흰갈색,442421201800133,http://www.animal.go.kr/files/shelter/2018/06/201806251706611_s.jpg,20180625,동해시 효자로 언당길 18호,[개] 믹스견,N,20180705,강원-동해-2018-00114,20180625,033-530-8419,강원도 동해시,http://www.animal.go.kr/files/shelter/2018/06/201806251706611.jpg,종료(반환),F,상태양호,4(Kg),
2012(년생),경기도 여주시 북내면 강문로 117 (북내면) ,강아지와 고양이,031-883-5199,김상현,크림색/흰색,441570201800146,http://www.animal.go.kr/files/shelter/2018/06/20180625180637_s.jpg,20180625,가정리,[개] 믹스견,N,20180705,경기-여주-2018-00146,20180625,031-887-3201,경기도 여주시,http://www.animal.go.kr/files/shelter/2018/06/20180625180637.jpg,종료(안락사),M,귀끝 피부질환,6.0(Kg),
2018(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,031-322-7586,최진영,갈색,441554201800804,http://www.animal.go.kr/files/shelter/2018/06/201806251606911_s.jpg,20180625,광주시 오포읍 추자리 일대,[개] 믹스견,N,20180705,경기-광주-2018-00530,20180625,031-760-4419,경기도 광주시,http://www.animal.go.kr/files/shelter/2018/06/201806251606911.jpg,종료(기증),F,6-92/ 칩없음/ 귀여움,5.00(Kg),
2018(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,031-322-7586,최진영,흰색,441554201800803,http://www.animal.go.kr/files/shelter/2018/06/201806251606689_s.jpg,20180625,광주시 경안동 163-21,[개] 믹스견,N,20180705,경기-광주-2018-00529,20180625,031-760-4419,경기도 광주시,http://www.animal.go.kr/files/shelter/2018/06/201806251606689.jpg,종료(기증),F,6-91/ 칩없음/ 귀여움,3.00(Kg),
2018(년생),경기도 용인시 처인구 모현면 대지로 407 (모현면)  ,죽전TNR동물병원,031-322-7586,최진영,흰색,441554201800802,http://www.animal.go.kr/files/shelter/2018/06/201806251606727_s.jpg,20180625,광주시 경안동 163-21,[개] 믹스견,N,20180705,경기-광주-2018-00528,20180625,031-760-4419,경기도 광주시,http://www.animal.go.kr/files/shelter/2018/06/201806251606727.jpg,종료(기증),F,6-90/ 칩없음/ 귀여움,3.00(Kg),
2018(년생),경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,남양유기견보호센터,031-355-7534,김지훈,흰색,441553201801383,http://www.animal.go.kr/files/shelter/2018/06/201806251206548_s.jpg,20180625,서신면 장외리 530-89,[개] 믹스견,U,20180704,경기-화성-2018-00818,20180625,031-369-6381,경기도 화성시,http://www.animal.go.kr/files/shelter/2018/06/201806251206548.jpg,종료(안락사),M,순함,2(Kg),
2015(년생),경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,남양유기견보호센터,031-355-7534,김지훈,흰색,441553201801382,http://www.animal.go.kr/files/shelter/2018/06/201806251206233_s.jpg,20180625,서신면 장외리 530-89,[개] 믹스견,U,20180704,경기-화성-2018-00817,20180625,031-369-6381,경기도 화성시,http://www.animal.go.kr/files/shelter/2018/06/201806251206233.jpg,종료(안락사),F,겁이 많음,4.6(Kg),
2008(년생),경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,남양유기견보호센터,031-355-7534,김지훈,흰색,441553201801381,http://www.animal.go.kr/files/shelter/2018/06/201806251206485_s.jpg,20180625,황계동 105-17 ,[개] 말티즈,U,20180704,경기-화성-2018-00816,20180625,031-369-6381,경기도 화성시,http://www.animal.go.kr/files/shelter/2018/06/201806251206485.jpg,종료(기증),M,겁이 많음,4.3(Kg),
2016(년생),경기도 가평군 가평읍 아랫마장길 59 (가평읍/ 농업기술센터) 가평 유기동물 보호소,가평군유기동물보호소,031-580-4763,오흥식,진갈,441416201800244,http://www.animal.go.kr/files/shelter/2018/06/201806251406230_s.jpg,20180625,가평읍 금대리 302-3,[개] 믹스견,N,20180705,경기-가평-2018-00144,20180625,031-580-4796,경기도 가평군,http://www.animal.go.kr/files/shelter/2018/06/201806251406230.jpg,보호중,M,베스트 캠핑장 배회/ 목줄/목걸이 X/ 가슴에 흰털이 특징,5.0(Kg),
2018(년생),경기도 여주시 북내면 강문로 117 (북내면) ,강아지와 고양이,031-883-5199,정주은,흰색,441407201800184,http://www.animal.go.kr/files/shelter/2018/06/201806251106127_s.jpg,20180625,도봉리,[개] 믹스견,N,20180705,경기-이천-2018-00185,20180625,031-644-2625,경기도 이천시,http://www.animal.go.kr/files/shelter/2018/06/201806251106127.jpg,종료(입양),M,.,0.7(Kg),
2018(년생),경기도 파주시 미래로 369-13 (동패동) 이마트운정,웰니스클리닉,031-942-7524,장승범,회색,441406201800572,http://www.animal.go.kr/files/shelter/2018/06/201806251706407_s.jpg,20180625,운정3동 벽산아파트 주변,[개] 믹스견,N,20180704,경기-파주-2018-00317,20180625,031-940-4593,경기도 파주시,http://www.animal.go.kr/files/shelter/2018/06/201806251706407.jpg,종료(입양),M,4개월령. 온순함,2.65(Kg),
2018(년생),경기도 파주시 미래로 369-13 (동패동) 이마트운정,웰니스클리닉,031-942-7524,장승범,흰색,441406201800571,http://www.animal.go.kr/files/shelter/2018/06/201806251706981_s.jpg,20180625,운정3동 벽산아파트 주변,[개] 믹스견,N,20180704,경기-파주-2018-00316,20180625,031-940-4593,경기도 파주시,http://www.animal.go.kr/files/shelter/2018/06/201806251706981.jpg,보호중,M,온순함. 4개월령 ,2.70(Kg),
2011(년생),경기도 용인시 처인구 중부대로 1074-1 (삼가동/ 용인시 동물보호센터) ,용인시 동물보호센터,031-324-3463,이소룡,갈색,441405201800800,http://www.animal.go.kr/files/shelter/2018/06/201806251406776_s.jpg,20180625,기흥구 마북동 180-2,[개] 닥스훈트,N,20180705,경기-용인-2018-00410,20180625,031-324-3467,경기도 용인시,http://www.animal.go.kr/files/shelter/2018/06/201806251406776.jpg,종료(반환),M,회색 하네스 착용. 동물등록 되어있으나 연락두절.,5.3(Kg),
2018(년생),경기도 화성시 남양읍 남양성지로 34 (남양읍) ,수성동물병원,031-355-5883,이윤환,갈색,441403201800220,http://www.animal.go.kr/files/shelter/2018/06/201806252006432_s.jpg,20180625,의왕시 내손동 689-6,[개] 푸들,N,20180705,경기-의왕-2018-00111,20180625,031-345-2383,경기도 의왕시,http://www.animal.go.kr/files/shelter/2018/06/201806252006432.jpg,종료(입양),M,곱슬곱슬하고 촘촘한 갈색 털/ 입 주변 털은 밝은 갈색 ,2.5(Kg),
2013(년생),경기도 화성시 남양읍 남양성지로 34 (남양읍) ,수성동물병원,031-355-5883,이윤환,검갈색,441403201800217,http://www.animal.go.kr/files/shelter/2018/06/20180625190617_s.jpg,20180625,내손동 약수터길(포일성당 주변),[개] 미니어쳐 핀셔,N,20180705,경기-의왕-2018-00108,20180625,031-345-2383,경기도 의왕시,http://www.animal.go.kr/files/shelter/2018/06/20180625190617.jpg,종료(안락사),M,좁고 쐐기 모양을 한 머리와 각이 뚜렷하고 날씬한 몸,5(Kg),
2008(년생),경기도 군포시 산본동 213번지 9호 외 1필지 2층,군포시 보호소,031-394-2259,이종설,흰색,441402201800348,http://www.animal.go.kr/files/shelter/2018/06/201806251906350_s.jpg,20180625,당동,[개] 말티즈,N,20180705,경기-군포-2018-00218,20180625,031-390-0437,경기도 군포시,http://www.animal.go.kr/files/shelter/2018/06/201806251906350.jpg,종료(반환),F,피부병,4(Kg),
2016(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,한국야생동물보호협회,031-296-0124,이태휘,백,441401201800497,http://www.animal.go.kr/files/shelter/2018/06/201806261106262_s.jpg,20180625,신천동 948 부근,[개] 푸들,U,20180709,경기-시흥-2018-00450,20180625,031-310-2324,경기도 시흥시,http://www.animal.go.kr/files/shelter/2018/06/201806261106262.jpg,종료(안락사),F,미용됨.,5(Kg),
2017(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,한국야생동물보호협회,031-296-0124,이태휘,갈흑백,441401201800496,http://www.animal.go.kr/files/shelter/2018/06/201806251706560_s.jpg,20180625,시흥시농업기술센터에서 인수,[개] 비글,N,20180709,경기-시흥-2018-00449,20180625,031-310-2324,경기도 시흥시,http://www.animal.go.kr/files/shelter/2018/06/201806251706560.jpg,보호중,M,순함.,12(Kg),
2018(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,한국야생동물보호협회,031-296-0124,이태휘,백,441401201800495,http://www.animal.go.kr/files/shelter/2018/06/201806251706763_s.jpg,20180625,정왕동 2165-2 부근,[개] 믹스견,N,20180709,경기-시흥-2018-00448,20180625,031-310-2324,경기도 시흥시,http://www.animal.go.kr/files/shelter/2018/06/201806251706763.jpg,종료(입양),F,생후 40일 정도됨. 주인이 이사가면서 유기함.,2(Kg),
2018(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,한국야생동물보호협회,031-296-0124,이태휘,백,441401201800494,http://www.animal.go.kr/files/shelter/2018/06/201806251706482_s.jpg,20180625,정왕동 2165-2 부근,[개] 믹스견,N,20180709,경기-시흥-2018-00447,20180625,031-310-2324,경기도 시흥시,http://www.animal.go.kr/files/shelter/2018/06/201806251706482.jpg,종료(자연사),F,생후 40일 정도됨. 주인이 이사가면서 유기함.,2(Kg),
2018(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,한국야생동물보호협회,031-296-0124,이태휘,백,441401201800493,http://www.animal.go.kr/files/shelter/2018/06/201806251706975_s.jpg,20180625,정왕동 2165-2 부근,[개] 믹스견,N,20180709,경기-시흥-2018-00446,20180625,031-310-2324,경기도 시흥시,http://www.animal.go.kr/files/shelter/2018/06/201806251706975.jpg,종료(입양),F,생후 40일 정도됨. 주인이 이사가면서 유기함.,2(Kg),
2017(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,한국야생동물보호협회,031-296-0124,이태휘,갈,441401201800492,http://www.animal.go.kr/files/shelter/2018/06/201806251106202_s.jpg,20180625,월곶동  491-1 부근,[개] 푸들,U,20180709,경기-시흥-2018-00445,20180625,031-310-2324,경기도 시흥시,http://www.animal.go.kr/files/shelter/2018/06/201806251106202.jpg,보호중,F,귀빼고 전체미용. 단미함.,4(Kg),
2015(년생),경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,남양주동물보호협회,031-591-7270,류상신,흰색,441399201801089,http://www.animal.go.kr/files/shelter/2018/06/201806252106239_s.jpg,20180625,외방리,[개] 믹스견,N,20180705,경기-남양주-2018-00826,20180625,031-590-2324,경기도 남양주시,http://www.animal.go.kr/files/shelter/2018/06/201806252106239.jpg,종료(안락사),F,들개로추정.목줄없고 경계함,20(Kg),
2018(년생),경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,남양주동물보호협회,031-591-7270,류상신,갈색,441399201801088,http://www.animal.go.kr/files/shelter/2018/06/201806252106441_s.jpg,20180625,지둔리,[개] 믹스견,N,20180705,경기-남양주-2018-00825,20180625,031-590-2324,경기도 남양주시,http://www.animal.go.kr/files/shelter/2018/06/201806252106441.jpg,종료(입양),F,요크셔테리어 믹스견임.나이가 어리고 사람을 잘따름,3.4(Kg),
2015(년생),경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,남양주동물보호협회,031-591-7270,류상신,갈색탄,441399201801087,http://www.animal.go.kr/files/shelter/2018/06/201806252106764_s.jpg,20180625,지둔리,[개] 요크셔 테리어,N,20180705,경기-남양주-2018-00824,20180625,031-590-2324,경기도 남양주시,http://www.animal.go.kr/files/shelter/2018/06/201806252106764.jpg,종료(입양),F,털이길며 사람을 잘따름,3.1(Kg),
2018(년생),경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,남양주동물보호협회,031-591-7270,류상신,흰색,441399201801086,http://www.animal.go.kr/files/shelter/2018/06/201806252106969_s.jpg,20180625,퇴계원 고등학교,[개] 믹스견,N,20180705,경기-남양주-2018-00823,20180625,031-590-2324,경기도 남양주시,http://www.animal.go.kr/files/shelter/2018/06/201806252106969.jpg,종료(입양),M,어린강아지며 온순함,7.3(Kg),
2018(년생),경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,남양주동물보호협회,031-591-7270,류상신,황색,441399201801085,http://www.animal.go.kr/files/shelter/2018/06/201806252106487_s.jpg,20180625,퇴계원 고등학교,[개] 믹스견,N,20180705,경기-남양주-2018-00822,20180625,031-590-2324,경기도 남양주시,http://www.animal.go.kr/files/shelter/2018/06/201806252106487.jpg,종료(입양),F,어린강아지며 온순함,6.2(Kg),
2016(년생),경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,남양주동물보호협회,031-591-7270,류상신,노랑.흰색,441399201801084,http://www.animal.go.kr/files/shelter/2018/06/201806252106214_s.jpg,20180625,진접 금곡리,[개] 웰시 코기 펨브로크,Y,20180705,경기-남양주-2018-00821,20180625,031-590-2324,경기도 남양주시,http://www.animal.go.kr/files/shelter/2018/06/201806252106214.jpg,종료(입양),M,연노랑.분홍색 목줄.검정색줄 착용.깨끗하고 온순함,6.8(Kg),
2016(년생),경기도 남양주시 금곡로 44 (금곡동/ 성원빌딩) 1층,남양주동물보호협회,031-591-7270,류상신,검정.흰색,441399201801083,http://www.animal.go.kr/files/shelter/2018/06/201806252106319_s.jpg,20180625,금곡동,[개] 알라스칸 말라뮤트,N,20180705,경기-남양주-2018-00820,20180625,031-590-2324,경기도 남양주시,http://www.animal.go.kr/files/shelter/2018/06/201806252106319.jpg,종료(입양),F,목줄없고 온순함,25(Kg),
2016(년생),경기도 고양시 덕양구 고양대로 1695 (원흥동/ 고양시 농업기술센터) 고양시동물보호센터,고양시동물보호센터,031-962-3232,김동환,갈색,441394201801096,http://www.animal.go.kr/files/shelter/2018/06/201806251306288_s.jpg,20180625,토당동 삼화맨션 가동,[개] 푸들,Y,20180705,경기-고양-2018-00729,20180625,031-8075-4604,경기도 고양시,http://www.animal.go.kr/files/shelter/2018/06/201806251306288.jpg,종료(안락사),M,단미/ 발견시 빨간색가슴줄 착용,6(Kg),
2017(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,(사)한동보,031-296-0124,이서현,갈백,441393201800812,http://www.animal.go.kr/files/shelter/2018/06/201806261306566_s.jpg,20180625,성포동593-4번지인근,[개] 푸들,N,20180707,경기-안산-2018-00724,20180625,031-481-3207,경기도 안산시,http://www.animal.go.kr/files/shelter/2018/06/201806261306566.jpg,종료(반환),M,노란색등줄/ 순함,3(Kg),
2017(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,(사)한동보,031-296-0124,이서현,백,441393201800811,http://www.animal.go.kr/files/shelter/2018/06/201806261206896_s.jpg,20180625,성포동 홈플러스인근,[개] 포메라니안,Y,20180707,경기-안산-2018-00723,20180625,031-481-3207,경기도 안산시,http://www.animal.go.kr/files/shelter/2018/06/201806261206896.jpg,종료(반환),M,6-25-788,4(Kg),
2016(년생),경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,(사)한동보,031-296-0124,이서현,갈백,441393201800808,http://www.animal.go.kr/files/shelter/2018/06/201806251706549_s.jpg,20180625,사동1489-5번지인근,[개] 시츄,N,20180707,경기-안산-2018-00722,20180625,031-481-3207,경기도 안산시,http://www.animal.go.kr/files/shelter/2018/06/201806251706549.jpg,종료(반환),F,전체미용,5(Kg),
2015(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,흰갈색,441391201801327,http://www.animal.go.kr/files/shelter/2018/06/201806251506562_s.jpg,20180625,방축5길40-13,[개] 믹스견,N,20180705,경기-평택-2018-01163,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251506562.jpg,종료(입양),F,온순,9(Kg),
2015(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,갈흰색,441391201801326,http://www.animal.go.kr/files/shelter/2018/06/201806251506625_s.jpg,20180625,송담9길116,[개] 믹스견,N,20180705,경기-평택-2018-01162,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251506625.jpg,종료(안락사),M,온순,8(Kg),
2015(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,갈흰색,441391201801325,http://www.animal.go.kr/files/shelter/2018/06/201806251506288_s.jpg,20180625,도일로155,[개] 믹스견,N,20180705,경기-평택-2018-01161,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251506288.jpg,종료(입양),M,온순,8(Kg),
2015(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,흰갈색,441391201801322,http://www.animal.go.kr/files/shelter/2018/06/20180625130696_s.jpg,20180625,안정리 우미@,[개] 믹스견,N,20180705,경기-평택-2018-01160,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/20180625130696.jpg,종료(안락사),F,온순,20(Kg),
2018(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,흰색,441391201801321,http://www.animal.go.kr/files/shelter/2018/06/201806251306339_s.jpg,20180625,평택호2길183,[개] 스피츠,N,20180705,경기-평택-2018-01159,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251306339.jpg,종료(안락사),F,케이지/샤료버려짐,3.5(Kg),
2018(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,흰색,441391201801319,http://www.animal.go.kr/files/shelter/2018/06/20180625130645_s.jpg,20180625,야막리437,[개] 믹스견,N,20180705,경기-평택-2018-01157,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/20180625130645.jpg,종료(자연사),F,강아지,1.4(Kg),
2018(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,흰색,441391201801318,http://www.animal.go.kr/files/shelter/2018/06/201806251306291_s.jpg,20180625,야막리437,[개] 믹스견,N,20180705,경기-평택-2018-01156,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251306291.jpg,종료(자연사),F,강아지,1.5(Kg),
2018(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,갈색,441391201801317,http://www.animal.go.kr/files/shelter/2018/06/201806251206823_s.jpg,20180625,서탄면 회화리212-2,[개] 믹스견,N,20180705,경기-평택-2018-01155,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251206823.jpg,종료(자연사),F,강아지,1.5(Kg),
2018(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,갈색,441391201801316,http://www.animal.go.kr/files/shelter/2018/06/201806251206911_s.jpg,20180625,서탄면 회화리212-2,[개] 믹스견,N,20180705,경기-평택-2018-01154,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251206911.jpg,종료(입양),M,강아지,1.6(Kg),
2016(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,흰색,441391201801315,http://www.animal.go.kr/files/shelter/2018/06/201806251206240_s.jpg,20180625,비전동1055-8,[개] 믹스견,N,20180705,경기-평택-2018-01153,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251206240.jpg,종료(입양),F,온순,3.3(Kg),
2015(년생),경기도 평택시 진위면 야막길 88-37 (진위면) ,평택시유기동물보호소,031-8024-3849,평택시,흰색,441391201801314,http://www.animal.go.kr/files/shelter/2018/06/201806251206803_s.jpg,20180625,비전동1055-8,[개] 스피츠,N,20180705,경기-평택-2018-01152,20180625,031-8024-3806,경기도 평택시,http://www.animal.go.kr/files/shelter/2018/06/201806251206803.jpg,종료(안락사),F,온순,5(Kg),
2013(년생),경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,검정,441386201801317,http://www.animal.go.kr/files/shelter/2018/06/201806251706166_s.jpg,20180625,경인로 138번길,[개] 포메라니안,Y,20180705,경기-부천-2018-00608,20180625,032-625-2786,경기도 부천시,http://www.animal.go.kr/files/shelter/2018/06/201806251706166.jpg,종료(반환),M,미용되어있고 중성화되어있음. 피부 안좋음. 순함,4.5(Kg),
2013(년생),경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,흰/검,441386201801316,http://www.animal.go.kr/files/shelter/2018/06/201806251706781[1]_s.jpg,20180625,자유시장,[개] 시츄,U,20180705,경기-부천-2018-00607,20180625,032-625-2786,경기도 부천시,http://www.animal.go.kr/files/shelter/2018/06/201806251706781[1].jpg,종료(반환),F,미용되어있고 탈장 있음.,5(Kg),
2015(년생),경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,갈,441386201801315,http://www.animal.go.kr/files/shelter/2018/06/201806251506543_s.jpg,20180625,춘의사거리,[개] 푸들,N,20180705,경기-부천-2018-00606,20180625,032-625-2786,경기도 부천시,http://www.animal.go.kr/files/shelter/2018/06/201806251506543.jpg,종료(입양),M,미용되어있고 중성화안되어있음. 순함,3(Kg),
2017(년생),경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,검정,441386201801314,http://www.animal.go.kr/files/shelter/2018/06/201806251206221_s.jpg,20180625,시청부근,[개] 믹스견,N,20180705,경기-부천-2018-00605,20180625,032-625-2786,경기도 부천시,http://www.animal.go.kr/files/shelter/2018/06/201806251206221.jpg,보호중,M,빨간하네스착용/유치있슴.중성화안됨,3.5(Kg),
2015(년생),경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,흰색,441386201801313,http://www.animal.go.kr/files/shelter/2018/06/201806251206102_s.jpg,20180625,시청 부근,[개] 말티즈,U,20180705,경기-부천-2018-00604,20180625,032-625-2786,경기도 부천시,http://www.animal.go.kr/files/shelter/2018/06/201806251206102.jpg,종료(자연사),F,등쪽 털 짧음.미용흔적있슴.순함,3.5(Kg),
2015(년생),경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,검정,441386201801312,http://www.animal.go.kr/files/shelter/2018/06/201806251206660_s.jpg,20180625,부천로 6번길 27,[개] 푸들,U,20180705,경기-부천-2018-00603,20180625,032-625-2786,경기도 부천시,http://www.animal.go.kr/files/shelter/2018/06/201806251206660.jpg,종료(입양),F,털엉킴 있고 순함.,3(Kg),
